nlist,M,nprobe,p,threads,recall,latency_us
1024,16,16,500,1,0.925702,304.148
1024,16,16,500,2,0.925702,255.017
1024,16,16,500,4,0.925702,200.283
1024,16,16,500,8,0.925702,289.932
1024,16,16,1000,1,0.926952,396.549
1024,16,16,1000,2,0.926952,299.392
1024,16,16,1000,4,0.926952,230.873
1024,16,16,1000,8,0.926952,229.723
1024,16,16,2000,1,0.927202,536.747
1024,16,16,2000,2,0.927202,346.367
1024,16,16,2000,4,0.927202,291.235
1024,16,16,2000,8,0.927202,411.704
1024,16,32,500,1,0.964352,384.151
1024,16,32,500,2,0.964352,347.603
1024,16,32,500,4,0.964402,240.49
1024,16,32,500,8,0.964402,372.641
1024,16,32,1000,1,0.966252,477.719
1024,16,32,1000,2,0.966302,319.311
1024,16,32,1000,4,0.966252,295.047
1024,16,32,1000,8,0.966302,355.407
1024,16,32,2000,1,0.966552,659.767
1024,16,32,2000,2,0.966552,480.345
1024,16,32,2000,4,0.966552,349.346
1024,16,32,2000,8,0.966552,1817.75
4096,4,8,500,1,0.739802,279.678
4096,4,8,500,2,0.740352,256.793
4096,4,8,500,4,0.739952,231.178
4096,4,8,500,8,0.740502,336.016
4096,4,8,1000,1,0.765452,300.501
4096,4,8,1000,2,0.765652,271.052
4096,4,8,1000,4,0.765602,244.064
4096,4,8,1000,8,0.765352,393.626
4096,4,8,2000,1,0.768102,301.482
4096,4,8,2000,2,0.768102,245.204
4096,4,8,2000,4,0.768102,226.189
4096,4,8,2000,8,0.768102,463.848
4096,4,16,500,1,0.805503,325.971
4096,4,16,500,2,0.805303,292.358
4096,4,16,500,4,0.805753,249.17
4096,4,16,500,8,0.805653,404.31
4096,4,16,1000,1,0.851003,348.36
4096,4,16,1000,2,0.851003,290.646
4096,4,16,1000,4,0.850853,257.056
4096,4,16,1000,8,0.850853,387.091
4096,4,16,2000,1,0.859953,376.473
4096,4,16,2000,2,0.859953,289.74
4096,4,16,2000,4,0.859903,260.012
4096,4,16,2000,8,0.859953,366.779
4096,4,32,500,1,0.832202,370.088
4096,4,32,500,2,0.833002,320.342
4096,4,32,500,4,0.832552,263.901
4096,4,32,500,8,0.832302,500.946
4096,4,32,1000,1,0.902653,453.483
4096,4,32,1000,2,0.903103,361.212
4096,4,32,1000,4,0.903153,300.474
4096,4,32,1000,8,0.902903,1107.57
4096,4,32,2000,1,0.923652,535.604
4096,4,32,2000,2,0.923552,427.664
