Threads,Schedule,Chunk,LocalP,AvgRecall,AvgLatency(us)
4,guided,64,20,0.99995,4544.86
4,guided,64,50,0.99995,4027.16
4,guided,64,100,0.99995,3925.87
4,guided,256,10,0.99995,3183.52
4,guided,256,20,0.99995,3062.08
4,guided,256,50,0.99995,3123.08
4,guided,256,100,0.99995,3404.27
4,guided,1024,10,0.99995,3232.22
4,guided,1024,20,0.99995,3094.76
4,guided,1024,50,0.99995,3002.02
4,guided,1024,100,0.99995,3170.71
8,static,0,10,0.99995,3347.87
8,static,0,20,0.99995,3798.73
8,static,0,50,0.99995,3653.6
8,static,0,100,0.99995,4802.21
8,static,1,10,0.99995,7282.74
8,static,1,20,0.99995,7570.63
8,static,1,50,0.99995,8416.34
8,static,1,100,0.99995,10010.4
8,static,4,10,0.99995,5821.24
8,static,4,20,0.99995,6124.79
8,static,4,50,0.99995,6322.79
8,static,4,100,0.99995,5575.65
8,static,16,10,0.99995,3284.18
8,static,16,20,0.99995,4726.27
8,static,16,50,0.99995,4681.06
8,static,16,100,0.99995,5386.43
8,static,64,10,0.99995,3979.05
8,static,64,20,0.99995,4226.7
8,static,64,50,0.99995,1942.84
8,static,64,100,0.99995,2582.24
8,static,256,10,0.99995,3120.97
8,static,256,20,0.99995,2523.84
8,static,256,50,0.99995,1808.42
8,static,256,100,0.99995,1924.2
8,static,1024,10,0.99995,3005.76
8,static,1024,20,0.99995,2151.23
8,static,1024,50,0.99995,1749.69
8,static,1024,100,0.99995,2227.05
8,dynamic,0,10,0.99995,20636.6
8,dynamic,0,20,0.99995,22228
8,dynamic,0,50,0.99995,20920.6
8,dynamic,0,100,0.99995,20542.3
8,dynamic,1,10,0.99995,20728.6
8,dynamic,1,20,0.99995,19879.1
8,dynamic,1,50,0.99995,21032.3
8,dynamic,1,100,0.99995,22151.8
8,dynamic,4,10,0.99995,6987.18
8,dynamic,4,20,0.99995,6597.35
8,dynamic,4,50,0.99995,6216.54
8,dynamic,4,100,0.99995,6098.85
8,dynamic,16,10,0.99995,2892
8,dynamic,16,20,0.99995,2516.89
8,dynamic,16,50,0.99995,2559.97
8,dynamic,16,100,0.99995,2762.53
8,dynamic,64,10,0.99995,2019.32
8,dynamic,64,20,0.99995,1939.39
8,dynamic,64,50,0.99995,1900.88
8,dynamic,64,100,0.99995,1994.85
8,dynamic,256,10,0.99995,1652.01
8,dynamic,256,20,0.99995,2388.68
8,dynamic,256,50,0.99995,1993.23
8,dynamic,256,100,0.99995,1978.95
8,dynamic,1024,10,0.99995,1615.77
8,dynamic,1024,20,0.99995,2014.62
8,dynamic,1024,50,0.99995,1743.79
8,dynamic,1024,100,0.99995,2196.02
8,guided,0,10,0.99995,1586.34
8,guided,0,20,0.99995,1880.6
8,guided,0,50,0.99995,1934.47
8,guided,0,100,0.99995,1915.52
8,guided,1,10,0.99995,1733.58
8,guided,1,20,0.99995,1632.89
8,guided,1,50,0.99995,1723.85
8,guided,1,100,0.99995,2062.95
8,guided,4,10,0.99995,1557.47
8,guided,4,20,0.99995,1629.29
8,guided,4,50,0.99995,1868.86
8,guided,4,100,0.99995,2209.96
8,guided,16,10,0.99995,2381.48
8,guided,16,20,0.99995,2514
8,guided,16,50,0.99995,2440.04
8,guided,16,100,0.99995,2074.11
8,guided,64,10,0.99995,1866.58
8,guided,64,20,0.99995,1888.48
8,guided,64,50,0.99995,1716.43
8,guided,64,100,0.99995,1911.17
8,guided,256,10,0.99995,1673.61
8,guided,256,20,0.99995,1721.82
8,guided,256,50,0.99995,1787.95
8,guided,256,100,0.99995,1924.17
8,guided,1024,10,0.99995,1739.1
8,guided,1024,20,0.99995,1700.3
8,guided,1024,50,0.99995,1832.4
8,guided,1024,100,0.99995,2065.94
